iter	Passed	Remaining
171	219	1054
172	220	1055
173	221	1053
174	222	1050
175	224	1049
176	225	1047
177	226	1045
178	227	1042
179	228	1040
180	229	1038
181	230	1036
182	232	1036
183	233	1035
184	234	1034
185	235	1032
186	237	1031
187	238	1029
188	239	1028
189	240	1026
190	242	1025
191	243	1023
192	244	1021
193	245	1019
194	246	1017
195	247	1015
196	248	1013
197	249	1012
198	251	1011
199	252	1010
200	253	1008
201	254	1006
202	255	1004
203	256	1002
204	257	1000
205	259	998
206	260	997
207	261	995
208	262	994
209	264	993
210	265	991
211	266	990
212	267	988
213	268	986
214	269	984
215	270	983
216	271	981
217	273	979
218	274	977
219	274	974
220	276	972
221	277	971
222	278	970
223	279	969
224	281	969
225	282	967
226	283	966
227	285	965
228	286	963
229	287	963
230	288	961
231	289	959
232	291	958
233	292	957
234	293	956
235	294	954
236	296	953
237	297	952
238	298	951
239	299	949
240	300	947
241	302	946
242	303	945
243	304	944
244	306	943
245	307	942
246	308	940
247	309	939
248	310	937
249	312	936
250	313	935
251	314	934
252	316	933
253	317	931
254	318	929
255	319	928
256	320	927
257	321	925
258	322	924
259	324	922
260	325	921
261	326	919
262	327	918
263	329	917
264	330	916
265	331	914
266	332	913
267	333	911
268	335	910
269	336	909
270	337	907
271	338	906
272	339	904
273	340	903
274	341	901
275	343	900
276	344	899
277	345	898
278	347	897
279	348	895
280	349	894
281	350	892
282	351	891
283	353	890
284	354	888
285	355	887
286	356	885
287	357	883
288	358	882
289	360	881
290	361	880
291	362	878
292	363	877
293	364	876
294	365	874
295	366	872
296	368	871
297	369	869
298	370	867
299	371	866
300	372	865
301	373	863
302	374	862
303	376	861
304	377	859
305	378	859
306	380	858
307	381	856
308	382	855
309	383	854
310	385	853
311	386	851
312	387	849
313	388	848
314	389	846
315	390	844
316	391	844
317	393	843
318	394	842
319	395	840
320	396	839
321	398	838
322	399	836
323	400	835
324	401	834
325	402	832
326	404	831
327	405	830
328	406	828
329	407	827
330	409	826
331	410	825
332	411	823
333	412	822
334	413	821
335	414	819
336	415	818
337	416	816
338	418	815
339	419	813
340	420	812
341	421	810
342	422	809
343	423	808
344	425	807
345	426	805
346	427	804
347	428	803
348	429	801
349	431	800
350	432	798
351	433	797
352	434	795
353	435	794
354	436	793
355	437	791
356	439	790
357	440	789
358	441	788
359	442	787
360	444	786
361	445	784
362	446	783
363	447	781
364	448	780
365	449	779
366	450	777
367	452	776
368	453	775
369	454	773
370	455	772
371	456	771
372	458	770
373	459	768
374	460	767
375	461	765
376	462	764
377	463	762
378	464	761
379	465	759
380	466	758
381	468	757
382	469	756
383	470	754
384	471	753
385	473	752
386	474	751
387	475	750
388	477	749
389	478	747
390	479	746
391	480	745
392	481	744
393	483	743
394	484	742
395	485	741
396	487	740
397	488	739
398	489	737
399	491	736
400	492	735
401	493	734
402	495	733
403	496	732
404	497	730
405	498	729
406	499	728
407	501	727
408	502	726
409	504	725
410	505	724
411	506	722
412	507	721
413	509	720
414	510	719
415	511	718
416	513	717
417	514	716
418	515	715
419	517	714
420	518	713
421	519	712
422	521	710
423	522	709
424	523	708
425	524	707
426	525	705
427	527	704
428	528	703
429	529	702
430	531	701
431	532	699
432	533	698
433	534	697
434	536	696
435	537	695
436	538	694
437	539	692
438	541	691
439	542	690
440	543	688
441	544	687
442	545	686
443	547	685
444	548	684
445	550	683
446	551	682
447	552	680
448	553	679
449	555	678
450	556	677
451	557	675
452	558	674
453	559	673
454	561	672
455	562	670
456	563	669
457	564	668
458	566	667
459	567	666
460	568	665
461	570	663
462	571	662
463	572	661
464	574	660
465	575	659
466	576	658
467	577	656
468	578	655
469	580	654
470	581	652
471	582	651
472	583	650
473	584	648
474	585	647
475	587	646
476	588	644
477	589	643
478	590	642
479	591	641
480	592	639
481	593	638
482	595	636
483	596	635
484	597	634
485	599	633
486	600	632
487	601	631
488	602	629
489	603	628
490	605	627
491	606	625
492	607	624
493	608	623
494	609	621
495	610	620
496	611	619
497	613	618
498	614	616
499	615	615
500	616	614
501	618	613
502	619	611
503	620	610
504	621	609
505	623	608
506	624	607
507	625	605
508	626	604
509	628	603
510	629	602
511	630	601
512	632	600
513	633	598
514	634	597
515	635	596
516	636	594
517	637	593
518	639	592
519	640	591
520	641	589
521	642	588
522	644	587
523	645	586
524	646	585
525	647	583
526	649	582
527	650	581
528	651	580
529	652	578
530	654	577
531	655	576
532	656	575
533	657	573
534	658	572
535	659	571
536	661	569
537	662	568
538	663	567
539	664	566
540	665	564
541	666	563
542	668	562
543	669	560
544	670	559
545	671	558
546	672	556
547	673	555
548	674	554
549	675	552
550	677	551
551	678	550
552	679	549
553	680	547
554	681	546
555	682	545
556	683	543
557	684	542
558	686	541
559	687	540
560	688	538
561	689	537
562	691	536
563	692	535
564	693	533
565	694	532
566	695	531
567	696	530
568	697	528
569	698	527
570	699	525
571	701	524
572	702	523
573	703	522
574	704	520
575	705	519
576	706	518
577	708	517
578	709	515
579	710	514
580	711	513
581	713	512
582	714	510
583	715	509
584	716	508
585	717	507
586	718	505
587	719	504
588	720	503
589	721	501
590	723	500
591	724	499
592	725	497
593	726	496
594	727	495
595	728	494
596	730	492
597	731	491
598	732	490
599	733	489
600	734	487
601	735	486
602	737	485
603	738	484
604	739	482
605	740	481
606	741	480
607	742	478
608	743	477
609	744	476
610	746	474
611	747	473
612	748	472
613	749	471
614	751	470
615	752	468
616	753	467
617	754	466
618	755	465
619	757	464
620	758	462
621	759	461
622	760	460
623	761	458
624	762	457
625	763	456
626	764	455
627	766	453
628	767	452
629	768	451
630	770	450
631	771	449
632	772	447
633	773	446
634	775	445
635	776	444
636	777	442
637	778	441
638	779	440
639	781	439
640	782	438
641	783	436
642	784	435
643	786	434
644	787	433
645	788	432
646	789	430
647	790	429
648	791	428
649	793	427
650	794	425
651	795	424
652	796	423
653	797	422
654	799	420
655	800	419
656	801	418
657	802	417
658	804	416
659	805	414
660	806	413
661	807	412
662	808	411
663	810	409
664	811	408
665	812	407
666	814	406
667	815	405
668	817	404
669	819	403
670	820	402
671	822	401
672	823	400
673	825	399
674	826	398
675	828	396
676	829	395
677	830	394
678	832	393
679	833	392
680	834	391
681	836	390
682	837	388
683	839	387
684	840	386
685	841	385
686	843	384
687	844	382
688	845	381
689	847	380
690	848	379
691	849	378
692	851	377
693	852	375
694	854	374
695	855	373
696	856	372
697	858	371
698	860	370
699	861	369
700	863	368
701	864	367
702	866	366
703	867	364
704	869	363
705	870	362
706	871	361
707	872	359
708	874	358
709	875	357
710	876	356
711	877	355
712	879	353
713	880	352
714	882	351
715	884	350
716	885	349
717	887	348
718	888	347
719	889	345
720	890	344
721	891	343
722	892	341
723	893	340
724	895	339
725	896	338
726	898	337
727	899	335
728	900	334
729	901	333
730	902	332
731	904	330
732	905	329
733	906	328
734	907	327
735	908	325
736	909	324
737	910	323
738	912	322
739	913	321
740	915	319
741	916	318
742	917	317
743	918	316
744	919	314
745	920	313
746	921	312
747	922	310
748	923	309
749	925	308
750	926	307
751	928	306
752	929	304
753	930	303
754	931	302
755	932	301
756	934	299
757	935	298
758	936	297
759	938	296
760	939	295
761	940	293
762	942	292
763	944	291
764	945	290
765	946	289
766	948	288
767	949	286
768	950	285
769	952	284
770	953	283
771	954	282
772	956	280
773	957	279
774	959	278
775	960	277
776	961	276
777	962	274
778	964	273
779	965	272
780	966	271
781	968	269
782	969	268
783	970	267
784	972	266
785	973	265
786	974	263
787	976	262
788	977	261
789	978	260
790	979	258
791	981	257
792	982	256
793	984	255
794	985	254
795	986	252
796	988	251
797	989	250
798	991	249
799	992	248
800	993	246
801	994	245
802	996	244
803	997	243
804	998	241
805	999	240
806	1000	239
807	1002	238
808	1003	236
809	1004	235
810	1005	234
811	1007	233
812	1008	231
813	1009	230
814	1010	229
815	1012	228
816	1013	226
817	1014	225
818	1015	224
819	1016	223
820	1018	221
821	1019	220
822	1020	219
823	1022	218
824	1023	217
825	1024	215
826	1025	214
827	1026	213
828	1028	212
829	1029	210
830	1030	209
831	1031	208
832	1033	207
833	1034	205
834	1035	204
835	1036	203
836	1038	202
837	1039	200
838	1040	199
839	1041	198
840	1043	197
841	1044	196
842	1045	194
843	1046	193
844	1047	192
845	1049	190
846	1050	189
847	1051	188
848	1052	187
849	1054	186
850	1055	184
851	1056	183
852	1057	182
853	1058	180
854	1059	179
855	1060	178
856	1062	177
857	1063	175
858	1064	174
859	1065	173
860	1066	172
861	1068	171
862	1069	169
863	1070	168
864	1071	167
865	1072	166
866	1074	164
867	1075	163
868	1076	162
869	1077	161
870	1078	159
871	1079	158
872	1080	157
873	1081	155
874	1083	154
875	1084	153
876	1086	152
877	1087	151
878	1088	149
879	1089	148
880	1090	147
881	1091	146
882	1092	144
883	1094	143
884	1095	142
885	1096	141
886	1097	139
887	1098	138
888	1099	137
889	1100	136
890	1102	134
891	1103	133
892	1104	132
893	1105	131
894	1106	129
895	1107	128
896	1109	127
897	1110	126
898	1111	124
899	1112	123
900	1113	122
901	1114	121
902	1116	119
903	1117	118
904	1118	117
905	1120	116
906	1121	114
907	1122	113
908	1124	112
909	1125	111
910	1126	110
911	1127	108
912	1128	107
913	1129	106
914	1131	105
915	1132	103
916	1133	102
917	1134	101
918	1136	100
919	1137	98
920	1138	97
921	1139	96
922	1141	95
923	1142	93
924	1143	92
925	1144	91
926	1145	90
927	1146	88
928	1148	87
929	1149	86
930	1150	85
931	1151	84
932	1152	82
933	1153	81
934	1154	80
935	1155	79
936	1156	77
937	1157	76
938	1158	75
939	1159	74
940	1160	72
941	1162	71
942	1163	70
943	1164	69
944	1166	67
945	1167	66
946	1168	65
947	1169	64
948	1170	62
949	1171	61
950	1172	60
951	1173	59
952	1175	57
953	1176	56
954	1177	55
955	1178	54
956	1179	53
957	1181	51
958	1182	50
959	1183	49
960	1184	48
961	1185	46
962	1186	45
963	1187	44
964	1188	43
965	1189	41
966	1191	40
967	1192	39
968	1193	38
969	1194	36
970	1195	35
971	1196	34
972	1198	33
973	1199	32
974	1200	30
975	1201	29
976	1202	28
977	1203	27
978	1204	25
979	1205	24
980	1207	23
981	1208	22
982	1209	20
983	1210	19
984	1211	18
985	1212	17
986	1213	15
987	1214	14
988	1215	13
989	1216	12
990	1218	11
991	1219	9
992	1220	8
993	1221	7
994	1222	6
995	1223	4
996	1225	3
997	1226	2
998	1227	1
999	1228	0
