iter	RMSE
0	57.33353403
1	57.29444884
2	57.17176668
3	57.08684464
4	56.98584467
5	56.86981297
6	56.78032938
7	56.70179785
8	56.61576966
9	56.56062887
10	56.4779549
11	56.40493405
12	56.33696123
13	56.2646319
14	56.16626448
15	56.05421098
16	55.94219458
17	55.87632187
18	55.7530207
19	55.67124346
20	55.60113881
21	55.51274209
22	55.44073175
23	55.38547563
24	55.30707299
25	55.19300118
26	55.09977191
27	55.01956086
28	54.9238856
29	54.90587496
30	54.81541629
31	54.74236099
32	54.65587601
33	54.57586747
34	54.494082
35	54.4474706
36	54.40177497
37	54.31198118
38	54.24701523
39	54.160392
40	54.08375162
41	54.03831782
42	53.94902132
43	53.87702443
44	53.77576579
45	53.67347503
46	53.61027476
47	53.54935823
48	53.46253778
49	53.40558188
50	53.33387381
51	53.28177143
52	53.17930423
53	53.06732821
54	52.99785373
55	52.93200993
56	52.86233244
57	52.81072716
58	52.72262049
59	52.61237827
60	52.52803123
61	52.45202164
62	52.4158149
63	52.3664286
64	52.28350409
65	52.17682937
66	52.10424879
67	52.02863367
68	51.9326893
69	51.88901634
70	51.85062919
71	51.80458439
72	51.76142441
73	51.69003849
74	51.61956619
75	51.57779614
76	51.50437564
77	51.43258188
78	51.34054093
79	51.28729094
80	51.24119514
81	51.17005747
82	51.11586442
83	51.04609221
84	50.9934813
85	50.90339801
86	50.80595581
87	50.68248388
88	50.61801678
89	50.56430468
90	50.52829606
91	50.46765339
92	50.40825595
93	50.36783551
94	50.30284535
95	50.24841951
96	50.20040394
97	50.15864132
98	50.0989635
99	49.99858355
100	49.96152691
101	49.90368755
102	49.86685017
103	49.82446262
104	49.74899701
105	49.66214941
106	49.58897314
107	49.51342074
108	49.45246631
109	49.37819639
110	49.31532436
111	49.27766298
112	49.21623906
113	49.14250535
114	49.09913569
115	49.08391713
116	49.05979302
117	49.01076854
118	48.95296234
119	48.91114568
120	48.81154153
121	48.77294243
122	48.73640736
123	48.66572145
124	48.58295267
125	48.49805944
126	48.41037291
127	48.37555767
128	48.3092904
129	48.24095132
130	48.20363064
131	48.17623429
132	48.13019479
133	48.08864427
134	48.05829866
135	48.0089668
136	47.95866199
137	47.88882296
138	47.81001213
139	47.74474273
140	47.68393528
141	47.64019954
142	47.56799696
143	47.51847776
144	47.47960758
145	47.40999431
146	47.35207197
147	47.28833125
148	47.23106613
149	47.17667014
150	47.08028389
151	47.00988665
152	46.96928036
153	46.91958385
154	46.87479608
155	46.81321606
156	46.75445203
157	46.73529608
158	46.6939408
159	46.62941492
160	46.55376821
161	46.50666341
162	46.47472376
163	46.43241544
164	46.35375983
165	46.30020283
166	46.24060607
167	46.18503827
168	46.14856935
169	46.05945396
170	46.02222909
171	45.95646517
172	45.90801179
173	45.80516217
174	45.75694127
175	45.70068278
176	45.63604577
177	45.59661787
178	45.55432595
179	45.5118569
180	45.46010396
181	45.4171429
182	45.37205164
183	45.33557983
184	45.29087541
185	45.23828512
186	45.1899329
187	45.11508173
188	45.05854243
189	45.02039796
190	44.97501014
191	44.91890931
192	44.86810874
193	44.83842375
194	44.78406836
195	44.7532864
196	44.68150862
197	44.65356988
198	44.6109035
199	44.53779263
200	44.47270792
201	44.41906808
202	44.35738568
203	44.28932697
204	44.22660232
205	44.17541649
206	44.10042745
207	44.05912234
208	44.01345987
209	43.94848997
210	43.91727136
211	43.8305812
212	43.7721256
213	43.69790642
214	43.62422516
215	43.56684528
216	43.52687534
217	43.45404811
218	43.39189306
219	43.35329175
220	43.30229507
221	43.26355953
222	43.22555795
223	43.13652956
224	43.07976374
225	43.03366828
226	42.98767317
227	42.94932318
228	42.92597756
229	42.88160068
230	42.82980424
231	42.78891908
232	42.7283024
233	42.6651667
234	42.60304424
235	42.55923735
236	42.50699462
237	42.43953876
238	42.40172245
239	42.33077629
240	42.27887517
241	42.24680792
242	42.17339445
243	42.10683145
244	42.06924997
245	42.04001245
246	41.99171878
247	41.932326
248	41.87457264
249	41.80603938
250	41.7346803
251	41.66350416
252	41.59537962
253	41.53581694
254	41.48650455
255	41.41856983
256	41.36849284
257	41.32556701
258	41.28685099
259	41.23737852
260	41.19602408
261	41.16416212
262	41.08060999
263	41.0192105
264	40.98159378
265	40.93555247
266	40.88526276
267	40.85104424
268	40.7911074
269	40.75668481
270	40.70490358
271	40.67466968
272	40.61511982
273	40.58073203
274	40.54227068
275	40.51445147
276	40.45543811
277	40.41332341
278	40.38764921
279	40.34964765
280	40.318398
281	40.28275589
282	40.20573475
283	40.16189344
284	40.1406031
285	40.08135749
286	40.02105176
287	39.9746704
288	39.93563525
289	39.89830567
290	39.85885724
291	39.8337578
292	39.78739984
293	39.75976942
294	39.73163637
295	39.65551366
296	39.61872985
297	39.58476526
298	39.54170652
299	39.50416004
300	39.46465693
301	39.40176896
302	39.36869623
303	39.31883243
304	39.30089292
305	39.22128793
306	39.19108527
307	39.14872675
308	39.06694158
309	39.04182318
310	39.00517083
311	38.95288419
312	38.92682682
313	38.87040868
314	38.82201391
315	38.74549567
316	38.69068172
317	38.63207974
318	38.55289167
319	38.53579536
320	38.4890082
321	38.44281452
322	38.41331316
323	38.3701698
324	38.3298844
325	38.27022053
326	38.22798982
327	38.17925879
328	38.11659485
329	38.07682277
330	38.05351214
331	38.01609103
332	37.96807085
333	37.91415631
334	37.88177225
335	37.82735913
336	37.77870046
337	37.74665151
338	37.70297948
339	37.65025332
340	37.59864537
341	37.546121
342	37.50405845
343	37.4689791
344	37.4265501
345	37.38501746
346	37.30146742
347	37.28253436
348	37.19949273
349	37.14699557
350	37.11622966
351	37.07302041
352	37.05843968
353	37.01023697
354	36.97327126
355	36.92126443
356	36.88108589
357	36.85157187
358	36.8098577
359	36.78998793
360	36.76392449
361	36.74279585
362	36.68078778
363	36.62039334
364	36.56015779
365	36.54140537
366	36.50116519
367	36.46614755
368	36.42431612
369	36.38238263
370	36.32943503
371	36.2728976
372	36.23541486
373	36.20305863
374	36.16289397
375	36.09948404
376	36.05919503
377	36.01462539
378	35.97638128
379	35.93913925
380	35.89451391
381	35.81824688
382	35.77682384
383	35.7322206
384	35.70863852
385	35.67668021
386	35.63235692
387	35.59949512
388	35.55466285
389	35.49256043
390	35.45254262
391	35.42263944
392	35.37742725
393	35.34738996
394	35.31504913
395	35.27487419
396	35.24893949
397	35.21446013
398	35.17220224
399	35.13593703
400	35.11789015
401	35.08335902
402	35.03977901
403	35.00749007
404	34.98343291
405	34.95385528
406	34.92262199
407	34.87746283
408	34.85427486
409	34.81125222
410	34.76244339
411	34.71844781
412	34.69344592
413	34.65428607
414	34.62359376
415	34.58589096
416	34.57005649
417	34.5191228
418	34.47607994
419	34.41064072
420	34.3804971
421	34.3461637
422	34.30575316
423	34.26098357
424	34.19753049
425	34.14351861
426	34.09896273
427	34.05955039
428	34.0342769
429	33.99892494
430	33.96501428
431	33.92735488
432	33.89797809
433	33.86583621
434	33.82811828
435	33.80400337
436	33.76749994
437	33.73754954
438	33.68542694
439	33.65404249
440	33.61461035
441	33.59348017
442	33.54510147
443	33.49956101
444	33.46115562
445	33.42662561
446	33.38573672
447	33.35393661
448	33.34342892
449	33.30794929
450	33.27477693
451	33.23193106
452	33.18442971
453	33.15322788
454	33.10635878
455	33.09029323
456	33.05649353
457	33.01125479
458	32.95652699
459	32.92190289
460	32.86049794
461	32.81914973
462	32.78124264
463	32.75684297
464	32.7370582
465	32.67767439
466	32.64375567
467	32.60118989
468	32.57171245
469	32.53499424
470	32.49865819
471	32.47617564
472	32.43072746
473	32.39675376
474	32.37563793
475	32.34362477
476	32.29865103
477	32.26360755
478	32.23582815
479	32.19513966
480	32.1678155
481	32.13156505
482	32.0967314
483	32.07112334
484	32.03784952
485	32.00311879
486	31.97174505
487	31.8953956
488	31.86672267
489	31.85093617
490	31.82580852
491	31.80439953
492	31.78318833
493	31.73752719
494	31.71597877
495	31.67705733
496	31.65185964
497	31.62474426
498	31.59726679
499	31.56925221
500	31.54162674
501	31.51691878
502	31.49104079
503	31.46681485
504	31.42809717
505	31.38151513
506	31.3374714
507	31.32027083
508	31.29037707
509	31.23893578
510	31.18703447
511	31.16031907
512	31.14309102
513	31.11156406
514	31.09523264
515	31.05007717
516	31.01937284
517	31.0055292
518	30.96243975
519	30.9217962
520	30.89637843
521	30.84787951
522	30.81989141
523	30.78949567
524	30.76314815
525	30.7146538
526	30.68669574
527	30.64068757
528	30.60210079
529	30.55003116
530	30.52563924
531	30.50064308
532	30.4787031
533	30.41434694
534	30.39183207
535	30.37313508
536	30.33847029
537	30.30004372
538	30.26808867
539	30.23093233
540	30.16132103
541	30.14232984
542	30.12417752
543	30.10728347
544	30.06863672
545	30.05145523
546	30.01666664
547	29.99294401
548	29.96676777
549	29.93821068
550	29.89800215
551	29.86236739
552	29.8232473
553	29.79394834
554	29.75457049
555	29.72306945
556	29.68971359
557	29.67110571
558	29.64098388
559	29.61458283
560	29.60763831
561	29.58237448
562	29.54183384
563	29.51547903
564	29.49057998
565	29.46815833
566	29.41969808
567	29.40490709
568	29.38029251
569	29.36783649
570	29.34919781
571	29.33277639
572	29.29588402
573	29.27578031
574	29.26066975
575	29.23726174
576	29.20967968
577	29.18164339
578	29.14853534
579	29.12212532
580	29.06562368
581	29.04081883
582	29.02228616
583	28.96565891
584	28.90565675
585	28.876449
586	28.863269
587	28.84170921
588	28.82476866
589	28.79879207
590	28.77853377
591	28.7521178
592	28.70921866
593	28.68340506
594	28.65321538
595	28.63366369
596	28.60417992
597	28.58943099
598	28.55987148
599	28.52765547
600	28.50811369
601	28.49193023
602	28.45288193
603	28.43581755
604	28.42322616
605	28.3865301
606	28.34208866
607	28.32524924
608	28.30468679
609	28.2843881
610	28.25823916
611	28.20038894
612	28.17274595
613	28.14310716
614	28.11366287
615	28.1041193
616	28.07745015
617	28.01950304
618	27.9729127
619	27.95904399
620	27.93220587
621	27.89242156
622	27.86325357
623	27.84514697
624	27.83702534
625	27.8108141
626	27.75928386
627	27.7411844
628	27.72951621
629	27.69722869
630	27.67841731
631	27.66087903
632	27.61953692
633	27.5932681
634	27.56759329
635	27.53292078
636	27.50890005
637	27.49416697
638	27.47077359
639	27.43431566
640	27.40924865
641	27.37504211
642	27.35869917
643	27.32549165
644	27.3188269
645	27.30512345
646	27.27890951
647	27.25490901
648	27.22621625
649	27.18732528
650	27.15884568
651	27.12396316
652	27.10005871
653	27.09935555
654	27.07164981
655	27.0480836
656	27.02964971
657	27.01530078
658	26.98986109
659	26.94341982
660	26.92949172
661	26.89892959
662	26.8439093
663	26.82744596
664	26.80978886
665	26.79631815
666	26.74358352
667	26.72780103
668	26.70349006
669	26.69324664
670	26.65981926
671	26.64239358
672	26.62694701
673	26.58848441
674	26.5757854
675	26.54901308
676	26.5320312
677	26.50398747
678	26.4652463
679	26.45462173
680	26.39974127
681	26.3771103
682	26.35982322
683	26.32946515
684	26.30813566
685	26.28625194
686	26.26722606
687	26.24219951
688	26.21974292
689	26.18942756
690	26.1376187
691	26.11863179
692	26.08696649
693	26.05792115
694	26.02603772
695	26.00450941
696	25.9714522
697	25.95135922
698	25.91749282
699	25.88497792
700	25.86509905
701	25.82557065
702	25.81159937
703	25.77271747
704	25.7708333
705	25.74090473
706	25.70400375
707	25.69777197
708	25.66829677
709	25.64527822
710	25.62693526
711	25.58365986
712	25.54243151
713	25.5148219
714	25.49566894
715	25.49441747
716	25.46755927
717	25.44691907
718	25.43203466
719	25.41114481
720	25.38707853
721	25.3774744
722	25.34210701
723	25.28311406
724	25.2547242
725	25.2304025
726	25.20200669
727	25.18052949
728	25.17075777
729	25.16258047
730	25.12945098
731	25.10136899
732	25.09757872
733	25.06887661
734	25.04745375
735	25.03633255
736	25.01541213
737	24.9815642
738	24.96346436
739	24.9369616
740	24.90138048
741	24.89401517
742	24.85311913
743	24.8418147
744	24.80655574
745	24.77873072
746	24.75380177
747	24.73770468
748	24.70675362
749	24.67179339
750	24.66638077
751	24.64159219
752	24.6194919
753	24.59230977
754	24.57811606
755	24.5528023
756	24.50023765
757	24.46055649
758	24.4411437
759	24.41567008
760	24.40878583
761	24.38277449
762	24.35975095
763	24.33443006
764	24.30830424
765	24.29735235
766	24.28092395
767	24.26557596
768	24.23260993
769	24.20629298
770	24.17914096
771	24.15661985
772	24.15078156
773	24.13326975
774	24.11363552
775	24.08830974
776	24.07634432
777	24.06135787
778	24.04190426
779	24.0140911
780	23.99637229
781	23.98196434
782	23.95887908
783	23.91997219
784	23.89164956
785	23.8741854
786	23.84598596
787	23.81640212
788	23.79970317
789	23.77342082
790	23.75493297
791	23.74300949
792	23.72575701
793	23.7107977
794	23.6909227
795	23.66457155
796	23.63847548
797	23.60094795
798	23.59061218
799	23.56285393
800	23.5186743
801	23.48171624
802	23.46928118
803	23.42120284
804	23.37724107
805	23.35666295
806	23.32723433
807	23.30777971
808	23.27752375
809	23.24840281
810	23.23911133
811	23.20591744
812	23.17882667
813	23.15520433
814	23.09966138
815	23.07793577
816	23.05880383
817	23.03577686
818	23.01043456
819	22.98219151
820	22.96316992
821	22.93666738
822	22.92731254
823	22.89286353
824	22.87576451
825	22.86442751
826	22.83648528
827	22.81966198
828	22.77805413
829	22.7448503
830	22.72862509
831	22.70217294
832	22.65246437
833	22.62154133
834	22.601856
835	22.57377951
836	22.55521109
837	22.5496072
838	22.53419718
839	22.51974946
840	22.49862186
841	22.45004246
842	22.42741868
843	22.39405774
844	22.38757063
845	22.38191148
846	22.36921338
847	22.35015022
848	22.33740703
849	22.32858704
850	22.32349483
851	22.3089709
852	22.28278056
853	22.27164548
854	22.27109032
855	22.2437218
856	22.22502164
857	22.21100022
858	22.20294011
859	22.1719961
860	22.16189724
861	22.14659423
862	22.1319463
863	22.10906192
864	22.083034
865	22.08158497
866	22.06811998
867	22.05529423
868	22.01273919
869	21.99209562
870	21.95400425
871	21.93781789
872	21.92004287
873	21.90264409
874	21.89372762
875	21.88409019
876	21.85610819
877	21.83642004
878	21.82315302
879	21.80103057
880	21.78271218
881	21.74871352
882	21.72395998
883	21.7095879
884	21.69940786
885	21.69059782
886	21.66611128
887	21.65534579
888	21.61611602
889	21.59130163
890	21.56667998
891	21.55069931
892	21.52396052
893	21.50051065
894	21.49094836
895	21.4686619
896	21.44038291
897	21.4243972
898	21.41047241
899	21.39619027
900	21.37673525
901	21.35137714
902	21.34374493
903	21.3191741
904	21.30234805
905	21.28178497
906	21.26113978
907	21.22565664
908	21.21024409
909	21.18892359
910	21.15812593
911	21.14135299
912	21.12971566
913	21.10414908
914	21.08588871
915	21.07216274
916	21.04524033
917	21.02524387
918	21.00962945
919	21.00257888
920	20.97657819
921	20.95645756
922	20.94172851
923	20.93032768
924	20.92558074
925	20.91138628
926	20.90232962
927	20.86832137
928	20.82341402
929	20.80795695
930	20.79459815
931	20.77666023
932	20.77301645
933	20.74503509
934	20.73248863
935	20.70393833
936	20.69259585
937	20.68265521
938	20.66759118
939	20.66292154
940	20.64439637
941	20.61114134
942	20.59271914
943	20.58252299
944	20.5530877
945	20.53750872
946	20.52229389
947	20.51754787
948	20.51422666
949	20.48415518
950	20.46062112
951	20.43959076
952	20.43110246
953	20.41231297
954	20.39191281
955	20.36194285
956	20.33914713
957	20.33323769
958	20.29823375
959	20.27191701
960	20.24570187
961	20.22547874
962	20.21017054
963	20.17203631
964	20.15288791
965	20.15239133
966	20.12165516
967	20.10131691
968	20.07597187
969	20.06399749
